track_name,album,year,valence,energy,danceability
Never Grow Up,Speak Now (Deluxe Package),2010,0.547,0.308,0.715
Ours,Speak Now (Deluxe Package),2010,0.192,0.556,0.61
Sparks Fly,Speak Now (Deluxe Package),2010,0.376,0.785,0.608
Speak Now,Speak Now (Deluxe Package),2010,0.742,0.601,0.708
Superman,Speak Now (Deluxe Package),2010,0.547,0.817,0.582
The Story Of Us,Speak Now (Deluxe Package),2010,0.84,0.855,0.575
The Story Of Us,Speak Now (Deluxe Package),2010,0.649,0.809,0.546
Back To December/Apologize/You're Not Sorry - Live/2011/Medley,Speak Now World Tour Live,2010,0.171,0.516,0.374
Bette Davis Eyes - Live/2011,Speak Now World Tour Live,2010,0.363,0.488,0.327
Better Than Revenge - Live/2011,Speak Now World Tour Live,2010,0.386,0.887,0.445
Dear John - Live/2011,Speak Now World Tour Live,2010,0.138,0.386,0.521
Drops Of Jupiter - Live/2011,Speak Now World Tour Live,2010,0.27,0.504,0.374
Enchanted - Live/2011,Speak Now World Tour Live,2010,0.214,0.663,0.34
Haunted - Live/2011,Speak Now World Tour Live,2010,0.177,0.818,0.338
I Want You Back - Live/2011,Speak Now World Tour Live,2010,0.249,0.512,0.536
Last Kiss - Live/2011,Speak Now World Tour Live,2010,0.188,0.395,0.427
Long Live - Live/2011,Speak Now World Tour Live,2010,0.204,0.728,0.544
Mean - Live/2011,Speak Now World Tour Live,2010,0.432,0.915,0.429
Mine - Live/2011,Speak Now World Tour Live,2010,0.442,0.852,0.496
Ours - Live/2011,Speak Now World Tour Live,2010,0.267,0.355,0.421
Sparks Fly - Live/2011,Speak Now World Tour Live,2010,0.298,0.783,0.455
Speak Now - Live/2011,Speak Now World Tour Live,2010,0.373,0.694,0.615
The Story Of Us - Live,Speak Now World Tour Live,2010,0.472,0.908,0.419
22,Red,2012,0.668,0.729,0.658
All Too Well,Red,2012,0.337,0.609,0.602
Begin Again,Red,2012,0.323,0.526,0.53
Everything Has Changed,Red,2012,0.436,0.458,0.624
Holy Ground,Red,2012,0.648,0.816,0.627
I Almost Do,Red,2012,0.233,0.481,0.567
I Knew You Were Trouble.,Red,2012,0.679,0.469,0.622
Red,Red,2012,0.641,0.896,0.602
Sad Beautiful Tragic,Red,2012,0.261,0.34,0.624
Starlight,Red,2012,0.587,0.777,0.649
State Of Grace,Red,2012,0.397,0.825,0.588
Stay Stay Stay,Red,2012,0.928,0.748,0.729
The Last Time,Red,2012,0.123,0.443,0.505
The Lucky One,Red,2012,0.545,0.499,0.706
Treacherous,Red,2012,0.395,0.621,0.705
We Are Never Ever Getting Back Together,Red,2012,0.75,0.676,0.628
22,Red (Deluxe Edition),2012,0.668,0.729,0.661
All Too Well,Red (Deluxe Edition),2012,0.337,0.609,0.602
Begin Again,Red (Deluxe Edition),2012,0.323,0.526,0.53
Come Back...Be Here,Red (Deluxe Edition),2012,0.217,0.548,0.483
Everything Has Changed,Red (Deluxe Edition),2012,0.436,0.458,0.624
Girl At Home,Red (Deluxe Edition),2012,0.633,0.59,0.733
Holy Ground,Red (Deluxe Edition),2012,0.648,0.816,0.627
I Almost Do,Red (Deluxe Edition),2012,0.233,0.481,0.567
I Knew You Were Trouble.,Red (Deluxe Edition),2012,0.679,0.469,0.622
Red,Red (Deluxe Edition),2012,0.641,0.896,0.602
Red - Original Demo Recording,Red (Deluxe Edition),2012,0.637,0.902,0.678
Sad Beautiful Tragic,Red (Deluxe Edition),2012,0.261,0.34,0.624
Starlight,Red (Deluxe Edition),2012,0.587,0.777,0.649
State Of Grace,Red (Deluxe Edition),2012,0.397,0.825,0.588
State Of Grace - Acoustic,Red (Deluxe Edition),2012,0.0682,0.118,0.626
Stay Stay Stay,Red (Deluxe Edition),2012,0.928,0.748,0.729
The Last Time,Red (Deluxe Edition),2012,0.123,0.443,0.505
The Lucky One,Red (Deluxe Edition),2012,0.545,0.499,0.706
The Moment I Knew,Red (Deluxe Edition),2012,0.274,0.506,0.619
Treacherous,Red (Deluxe Edition),2012,0.395,0.621,0.704
Treacherous - Original Demo Recording,Red (Deluxe Edition),2012,0.519,0.64,0.828
We Are Never Ever Getting Back Together,Red (Deluxe Edition),2012,0.75,0.676,0.628
All You Had To Do Was Stay,1989,2014,0.472,0.735,0.602
Bad Blood,1989,2014,0.295,0.802,0.652
Blank Space,1989,2014,0.583,0.678,0.752
Clean,1989,2014,0.211,0.38,0.81
How You Get The Girl,1989,2014,0.525,0.659,0.764
I Know Places,1989,2014,0.507,0.763,0.595
I Wish You Would,1989,2014,0.503,0.898,0.649
Out Of The Woods,1989,2014,0.342,0.841,0.552
Shake It Off,1989,2014,0.943,0.785,0.648
Style,1989,2014,0.456,0.786,0.598
This Love,1989,2014,0.0858,0.459,0.485
Welcome To New York,1989,2014,0.615,0.634,0.793
Wildest Dreams,1989,2014,0.467,0.664,0.553
All You Had To Do Was Stay,1989 (Deluxe),2014,0.539,0.725,0.605
Bad Blood,1989 (Deluxe),2014,0.287,0.794,0.646
Blank Space,1989 (Deluxe),2014,0.57,0.703,0.76
Blank Space - Voice Memo,1989 (Deluxe),2014,0.578,0.234,0.675
Clean,1989 (Deluxe),2014,0.211,0.377,0.815
How You Get The Girl,1989 (Deluxe),2014,0.545,0.656,0.765
I Know Places,1989 (Deluxe),2014,0.495,0.755,0.602
I Know Places - Voice Memo,1989 (Deluxe),2014,0.15,0.128,0.592
I Wish You Would,1989 (Deluxe),2014,0.513,0.893,0.653
I Wish You Would - Voice Memo,1989 (Deluxe),2014,0.645,0.357,0.781
New Romantics,1989 (Deluxe),2014,0.584,0.889,0.633
Out Of The Woods,1989 (Deluxe),2014,0.338,0.841,0.553
Shake It Off,1989 (Deluxe),2014,0.942,0.8,0.647
Style,1989 (Deluxe),2014,0.487,0.791,0.588
This Love,1989 (Deluxe),2014,0.107,0.435,0.481
Welcome To New York,1989 (Deluxe),2014,0.658,0.634,0.789
Wildest Dreams,1989 (Deluxe),2014,0.465,0.688,0.55
Wonderland,1989 (Deluxe),2014,0.197,0.692,0.422
You Are In Love,1989 (Deluxe),2014,0.319,0.48,0.474
...Ready For It?,reputation,2017,0.417,0.764,0.613
Call It What You Want,reputation,2017,0.252,0.504,0.598
Dancing With Our Hands Tied,reputation,2017,0.284,0.691,0.624
Delicate,reputation,2017,0.0499,0.404,0.75
Don’t Blame Me,reputation,2017,0.193,0.534,0.615
Dress,reputation,2017,0.0851,0.469,0.719
End Game,reputation,2017,0.151,0.589,0.649
Getaway Car,reputation,2017,0.351,0.689,0.562
Gorgeous,reputation,2017,0.451,0.535,0.8
I Did Something Bad,reputation,2017,0.305,0.602,0.696
King Of My Heart,reputation,2017,0.314,0.703,0.675
Look What You Made Me Do,reputation,2017,0.506,0.709,0.766
New Year’s Day,reputation,2017,0.23,0.151,0.661
So It Goes...,reputation,2017,0.374,0.61,0.574
This Is Why We Can't Have Nice Things,reputation,2017,0.438,0.789,0.567
22,reputation Stadium Tour Surprise Song Playlist,2017,0.677,0.732,0.66
A Place in this World,reputation Stadium Tour Surprise Song Playlist,2017,0.438,0.767,0.573
All Too Well,reputation Stadium Tour Surprise Song Playlist,2017,0.317,0.605,0.463
Babe,reputation Stadium Tour Surprise Song Playlist,2017,0.647,0.785,0.577
Begin Again,reputation Stadium Tour Surprise Song Playlist,2017,0.312,0.526,0.516
Better Man,reputation Stadium Tour Surprise Song Playlist,2017,0.508,0.844,0.503
Breathe,reputation Stadium Tour Surprise Song Playlist,2017,0.167,0.48,0.442
Change,reputation Stadium Tour Surprise Song Playlist,2017,0.233,0.764,0.543
Come Back...Be Here,reputation Stadium Tour Surprise Song Playlist,2017,0.22,0.548,0.486
Enchanted,reputation Stadium Tour Surprise Song Playlist,2017,0.222,0.629,0.536
Fearless,reputation Stadium Tour Surprise Song Playlist,2017,0.429,0.717,0.603
Fifteen,reputation Stadium Tour Surprise Song Playlist,2017,0.217,0.63,0.549
Forever & Always,reputation Stadium Tour Surprise Song Playlist,2017,0.521,0.829,0.607
Haunted,reputation Stadium Tour Surprise Song Playlist,2017,0.371,0.948,0.43
Hey Stephen,reputation Stadium Tour Surprise Song Playlist,2017,0.839,0.541,0.843
Holy Ground,reputation Stadium Tour Surprise Song Playlist,2017,0.648,0.816,0.627
How You Get The Girl,reputation Stadium Tour Surprise Song Playlist,2017,0.546,0.657,0.764
I Don’t Wanna Live Forever (Fifty Shades Darker),reputation Stadium Tour Surprise Song Playlist,2017,0.106,0.444,0.73
I Knew You Were Trouble.,reputation Stadium Tour Surprise Song Playlist,2017,0.666,0.464,0.536
I Know Places,reputation Stadium Tour Surprise Song Playlist,2017,0.496,0.755,0.603
I'm Only Me When I'm With You,reputation Stadium Tour Surprise Song Playlist,2017,0.521,0.933,0.556
Invisible,reputation Stadium Tour Surprise Song Playlist,2017,0.217,0.384,0.608
Jump Then Fall,reputation Stadium Tour Surprise Song Playlist,2017,0.827,0.699,0.617
Mean,reputation Stadium Tour Surprise Song Playlist,2017,0.791,0.755,0.576
Mine,reputation Stadium Tour Surprise Song Playlist,2017,0.662,0.781,0.622
Never Grow Up,reputation Stadium Tour Surprise Song Playlist,2017,0.546,0.309,0.714
Our Song,reputation Stadium Tour Surprise Song Playlist,2017,0.565,0.663,0.545
Ours,reputation Stadium Tour Surprise Song Playlist,2017,0.228,0.56,0.609
Out Of The Woods,reputation Stadium Tour Surprise Song Playlist,2017,0.339,0.841,0.553
Red,reputation Stadium Tour Surprise Song Playlist,2017,0.647,0.899,0.605
So It Goes...,reputation Stadium Tour Surprise Song Playlist,2017,0.371,0.61,0.578
Sparks Fly,reputation Stadium Tour Surprise Song Playlist,2017,0.399,0.782,0.61
Speak Now,reputation Stadium Tour Surprise Song Playlist,2017,0.714,0.603,0.712
Starlight,reputation Stadium Tour Surprise Song Playlist,2017,0.617,0.779,0.649
State Of Grace,reputation Stadium Tour Surprise Song Playlist,2017,0.383,0.828,0.591
Teardrops On My Guitar - Radio Single Remix,reputation Stadium Tour Surprise Song Playlist,2017,0.265,0.427,0.626
The Best Day,reputation Stadium Tour Surprise Song Playlist,2017,0.386,0.448,0.668
The Lucky One,reputation Stadium Tour Surprise Song Playlist,2017,0.561,0.505,0.706
The Story Of Us,reputation Stadium Tour Surprise Song Playlist,2017,0.645,0.807,0.547
This Love,reputation Stadium Tour Surprise Song Playlist,2017,0.108,0.435,0.48
Tied Together with a Smile,reputation Stadium Tour Surprise Song Playlist,2017,0.238,0.547,0.478
Treacherous,reputation Stadium Tour Surprise Song Playlist,2017,0.395,0.621,0.704
Welcome To New York,reputation Stadium Tour Surprise Song Playlist,2017,0.658,0.634,0.789
White Horse,reputation Stadium Tour Surprise Song Playlist,2017,0.218,0.348,0.578
Wildest Dreams,reputation Stadium Tour Surprise Song Playlist,2017,0.461,0.688,0.55
Wonderland,reputation Stadium Tour Surprise Song Playlist,2017,0.197,0.692,0.422
Afterglow,Lover,2019,0.399,0.449,0.756
Cornelia Street,Lover,2019,0.248,0.624,0.824
Cruel Summer,Lover,2019,0.564,0.702,0.552
Daylight,Lover,2019,0.265,0.496,0.557
Death By A Thousand Cuts,Lover,2019,0.313,0.732,0.712
False God,Lover,2019,0.351,0.32,0.739
I Forgot That You Existed,Lover,2019,0.541,0.316,0.664
I Think He Knows,Lover,2019,0.416,0.366,0.897
It’s Nice To Have A Friend,Lover,2019,0.545,0.175,0.737
London Boy,Lover,2019,0.557,0.71,0.695
Lover,Lover,2019,0.453,0.543,0.359
ME! (feat. Brendon Urie of Panic! At The Disco),Lover,2019,0.728,0.83,0.61
Miss Americana & The Heartbreak Prince,Lover,2019,0.487,0.747,0.662
Paper Rings,Lover,2019,0.865,0.719,0.811
Soon You’ll Get Better (feat. The Chicks),Lover,2019,0.421,0.182,0.433
The Archer,Lover,2019,0.166,0.574,0.292
The Man,Lover,2019,0.633,0.658,0.777
You Need To Calm Down,Lover,2019,0.714,0.671,0.771
champagne problems,evermore,2020,0.32,0.24,0.462
closure,evermore,2020,0.92,0.704,0.689
coney island (feat. The National),evermore,2020,0.292,0.537,0.537
cowboy like me,evermore,2020,0.511,0.517,0.604
dorothea,evermore,2020,0.354,0.488,0.605
evermore (feat. Bon Iver),evermore,2020,0.32,0.27,0.39
gold rush,evermore,2020,0.353,0.462,0.512
happiness,evermore,2020,0.211,0.334,0.559
ivy,evermore,2020,0.535,0.545,0.515
long story short,evermore,2020,0.573,0.73,0.546
marjorie,evermore,2020,0.287,0.561,0.535
"no body, no crime (feat. HAIM)",evermore,2020,0.535,0.613,0.546
tolerate it,evermore,2020,0.221,0.361,0.316
willow,evermore,2020,0.529,0.574,0.392
‘tis the damn season,evermore,2020,0.348,0.434,0.575
august,folklore,2020,0.403,0.623,0.532
betty,folklore,2020,0.502,0.377,0.593
cardigan,folklore,2020,0.551,0.581,0.613
epiphany,folklore,2020,0.106,0.267,0.175
exile (feat. Bon Iver),folklore,2020,0.152,0.38,0.298
hoax,folklore,2020,0.429,0.181,0.662
illicit affairs,folklore,2020,0.46,0.31,0.559
invisible string,folklore,2020,0.45,0.452,0.653
mad woman,folklore,2020,0.506,0.699,0.592
mirrorball,folklore,2020,0.379,0.413,0.553
my tears ricochet,folklore,2020,0.112,0.263,0.469
